tag,variant,tier,target,n_anomaly,n_total,detector,accuracy,fpr,precision,recall,f1,latency_s,auc_roc,auc_pr,event_detected,threshold,tp,tn,fp,fn
ecg_amplitude_scale,1,easy,signal,1800,15000,ZScore,0.6878,0.245,0.0979,0.195,0.1304,1.225,0.5622,0.1294,True,2081314285.714151,351,9966,3234,1449
ecg_amplitude_scale,1,easy,signal,1800,15000,RobustRollingZScore,0.8671,0.0175,0.1413,0.0211,0.0367,1.225,0.5371,0.1292,True,1099520.796612,38,12969,231,1762
ecg_amplitude_scale,1,easy,signal,1800,15000,IsolationForest,0.9623,0.0327,0.7944,0.925,0.8547,0.097,0.99,0.8857,True,0.559547,1665,12769,431,135
ecg_amplitude_scale,1,easy,signal,1800,15000,Autoencoder,0.8997,0.1139,0.5448,1.0,0.7053,0.0,0.9973,0.9766,True,0.574157,1800,11696,1504,0
ecg_amplitude_scale,1,easy,signal,1800,15000,LOF,0.8458,0.1752,0.4376,1.0,0.6088,0.0,0.9968,0.9744,True,1.472817,1800,10887,2313,0
ecg_amplitude_scale,2,easy,signal,1800,15000,ZScore,0.7118,0.2315,0.1485,0.2961,0.1978,1.186,0.5296,0.1308,True,2081314285.714151,533,10144,3056,1267
ecg_amplitude_scale,2,easy,signal,1800,15000,RobustRollingZScore,0.868,0.0168,0.1591,0.0233,0.0407,1.614,0.4961,0.1247,True,1099520.796612,42,12978,222,1758
ecg_amplitude_scale,2,easy,signal,1800,15000,IsolationForest,0.826,0.0745,0.1503,0.0967,0.1176,0.506,0.734,0.1932,True,0.559547,174,12216,984,1626
ecg_amplitude_scale,2,easy,signal,1800,15000,Autoencoder,0.8286,0.1933,0.411,0.9889,0.5807,0.389,0.9563,0.5817,True,0.574157,1780,10649,2551,20
ecg_amplitude_scale,2,easy,signal,1800,15000,LOF,0.7315,0.2968,0.3015,0.9394,0.4565,0.389,0.855,0.3037,True,1.472817,1691,9282,3918,109
ecg_amplitude_scale,1,medium,signal,5700,15000,ZScore,0.6015,0.2072,0.4613,0.2895,0.3557,0.0,0.5426,0.4135,True,2081314285.714151,1650,7373,1927,4050
ecg_amplitude_scale,1,medium,signal,5700,15000,RobustRollingZScore,0.6178,0.0159,0.4373,0.0202,0.0386,1.108,0.4952,0.3846,True,1099520.796612,115,9152,148,5585
ecg_amplitude_scale,1,medium,signal,5700,15000,IsolationForest,0.5769,0.1057,0.2553,0.0591,0.096,0.681,0.7675,0.5207,True,0.559547,337,8317,983,5363
ecg_amplitude_scale,1,medium,signal,5700,15000,Autoencoder,0.8514,0.2363,0.7206,0.9946,0.8357,0.603,0.9465,0.795,True,0.574157,5669,7102,2198,31
ecg_amplitude_scale,1,medium,signal,5700,15000,LOF,0.7763,0.3541,0.6312,0.9889,0.7706,0.019,0.8484,0.6215,True,1.472817,5637,6007,3293,63
ecg_amplitude_scale,2,medium,signal,5700,15000,ZScore,0.5571,0.2437,0.3685,0.2319,0.2847,2.003,0.5586,0.4015,True,2081314285.714151,1322,7034,2266,4378
ecg_amplitude_scale,2,medium,signal,5700,15000,RobustRollingZScore,0.6149,0.0185,0.3582,0.0168,0.0322,2.003,0.5125,0.3808,True,1099520.796612,96,9128,172,5604
ecg_amplitude_scale,2,medium,signal,5700,15000,IsolationForest,0.7377,0.0269,0.8896,0.3535,0.506,1.303,0.8749,0.7945,True,0.559547,2015,9050,250,3685
ecg_amplitude_scale,2,medium,signal,5700,15000,Autoencoder,0.8773,0.0605,0.8871,0.776,0.8278,1.303,0.9379,0.9018,True,0.574157,4423,8737,563,1277
ecg_amplitude_scale,2,medium,signal,5700,15000,LOF,0.9313,0.0434,0.9263,0.8902,0.9079,1.439,0.9758,0.9671,True,1.472817,5074,8896,404,626
ecg_amplitude_scale,1,hard,signal,9300,15000,ZScore,0.4628,0.2054,0.6733,0.2595,0.3746,2.917,0.5401,0.6463,True,2081314285.714151,2413,4529,1171,6887
ecg_amplitude_scale,1,hard,signal,9300,15000,RobustRollingZScore,0.3843,0.0174,0.6236,0.0176,0.0343,3.578,0.4965,0.619,True,1099520.796612,164,5601,99,9136
ecg_amplitude_scale,1,hard,signal,9300,15000,IsolationForest,0.3807,0.0491,0.5088,0.0312,0.0588,4.356,0.6453,0.6766,True,0.559547,290,5420,280,9010
ecg_amplitude_scale,1,hard,signal,9300,15000,Autoencoder,0.4916,0.1328,0.7625,0.2614,0.3893,2.217,0.7535,0.7529,True,0.574157,2431,4943,757,6869
ecg_amplitude_scale,1,hard,signal,9300,15000,LOF,0.7647,0.1358,0.8942,0.7037,0.7876,0.875,0.888,0.8742,True,1.472817,6544,4926,774,2756
ecg_amplitude_scale,2,hard,signal,9300,15000,ZScore,0.4615,0.2072,0.6706,0.2585,0.3731,0.0,0.486,0.6234,True,2081314285.714151,2404,4519,1181,6896
ecg_amplitude_scale,2,hard,signal,9300,15000,RobustRollingZScore,0.3833,0.0191,0.5933,0.0171,0.0332,0.778,0.4821,0.6127,True,1099520.796612,159,5591,109,9141
ecg_amplitude_scale,2,hard,signal,9300,15000,IsolationForest,0.3719,0.1458,0.4604,0.0762,0.1308,0.836,0.5024,0.5871,True,0.559547,709,4869,831,8591
ecg_amplitude_scale,2,hard,signal,9300,15000,Autoencoder,0.4903,0.3075,0.6603,0.3665,0.4713,0.797,0.5919,0.6283,True,0.574157,3408,3947,1753,5892
ecg_amplitude_scale,2,hard,signal,9300,15000,LOF,0.5701,0.4449,0.68,0.5794,0.6256,0.661,0.5891,0.6186,True,1.472817,5388,3164,2536,3912
ecg_lead_inversion,1,easy,signal,1800,15000,ZScore,0.6848,0.2467,0.0915,0.1822,0.1218,0.214,0.5659,0.1371,True,2081314285.714151,328,9944,3256,1472
ecg_lead_inversion,1,easy,signal,1800,15000,RobustRollingZScore,0.8655,0.0182,0.0875,0.0128,0.0223,0.214,0.4978,0.1143,True,1099520.796612,23,12960,240,1777
